,age,gender,category,amount,fraud
553588,1,F,es_transportation,42.23,0
284787,4,F,es_transportation,27.1,0
506107,4,M,es_transportation,9.18,0
230519,3,F,es_transportation,17.99,0
140209,2,M,es_transportation,1.0997999999999999,0
188363,4,M,es_transportation,18.1,0
13303,3,F,es_transportation,39.91,0
492318,4,F,es_transportation,19.71,0
294204,2,F,es_food,47.31,0
48199,4,F,es_transportation,12.99,0
577164,2,F,es_transportation,2.88,0
70451,1,F,es_transportation,32.71,0
537601,2,M,es_transportation,27.06,0
533998,2,M,es_transportation,23.0,0
394423,1,M,es_transportation,7.38,0
342254,1,F,es_wellnessandbeauty,52.75,0
81232,3,F,es_transportation,6.81,0
144277,3,F,es_transportation,14.78,0
307495,3,F,es_transportation,21.52,0
161892,2,M,es_transportation,62.77,0
213695,3,F,es_transportation,22.9,0
191731,3,M,es_transportation,32.36,0
122675,5,F,es_transportation,57.81,0
74940,3,F,es_transportation,3.71,0
541883,2,F,es_transportation,50.29,0
327682,3,F,es_transportation,59.09,0
201021,3,M,es_transportation,4.75,0
500860,4,M,es_transportation,37.81,0
204232,4,F,es_transportation,45.86,0
369322,5,M,es_transportation,34.91,0
398533,5,F,es_food,69.76,0
294868,2,M,es_transportation,11.87,0
283007,1,M,es_transportation,31.66,0
13946,1,M,es_transportation,5.4,0
587192,6,M,es_food,83.52,0
386165,4,F,es_transportation,26.56,0
38468,4,M,es_transportation,1.0997999999999999,0
336727,1,F,es_transportation,26.41,0
302027,3,F,es_transportation,26.69,0
520580,0,F,es_transportation,28.04,0
111723,4,M,es_transportation,61.85,0
491276,3,M,es_transportation,4.91,0
315494,3,M,es_transportation,62.35,0
45872,3,M,es_transportation,22.33,0
496982,2,F,es_health,88.62,0
277340,2,M,es_transportation,11.25,0
3571,6,M,es_transportation,24.28,0
336305,5,F,es_health,125.13,0
236960,4,F,es_transportation,10.59,0
277835,3,M,es_transportation,35.56,0
378171,2,M,es_transportation,5.43,0
463515,4,F,es_transportation,20.52,0
437687,2,F,es_transportation,37.22,0
95436,3,M,es_transportation,4.4,0
559509,2,F,es_transportation,10.63,0
190350,3,M,es_transportation,14.0,0
438110,2,F,es_transportation,51.96,0
344296,0,M,es_transportation,39.85,0
31765,2,F,es_barsandrestaurants,94.51,0
231640,3,M,es_transportation,36.67,0
285909,1,M,es_transportation,8.64,0
251865,2,F,es_fashion,34.97,0
536252,4,M,es_transportation,21.78,0
440579,3,F,es_transportation,10.83,0
517387,2,M,es_transportation,36.31,0
305093,3,M,es_transportation,1.0997999999999999,0
348581,2,F,es_transportation,34.05,0
587266,4,F,es_transportation,18.15,0
514893,4,M,es_transportation,64.92,0
123761,5,F,es_transportation,16.84,0
134545,4,M,es_health,236.14739999999958,0
557542,3,F,es_transportation,55.61,0
395295,2,M,es_transportation,36.4,0
410067,3,F,es_transportation,1.0997999999999999,0
157271,3,M,es_transportation,30.57,0
156332,1,M,es_transportation,33.11,0
146050,5,F,es_transportation,30.31,0
554920,4,M,es_transportation,10.68,0
146061,2,M,es_transportation,35.26,0
72818,3,F,es_transportation,49.75,0
513114,2,F,es_transportation,42.81,0
125821,4,F,es_transportation,69.47,0
365016,2,M,es_transportation,8.21,0
277935,2,F,es_fashion,79.41,0
85139,2,M,es_transportation,13.62,0
492543,2,M,es_transportation,24.69,0
580992,2,M,es_transportation,8.14,0
579169,2,M,es_barsandrestaurants,57.8,0
496745,5,F,es_transportation,81.83,0
182712,4,F,es_transportation,58.52,0
528028,1,F,es_transportation,22.02,0
247815,5,F,es_transportation,14.0,0
127286,1,M,es_transportation,1.48,0
197020,3,F,es_transportation,32.6,0
292790,2,F,es_transportation,30.63,0
218885,3,M,es_transportation,34.61,0
478947,3,M,es_food,15.85,0
197739,6,F,es_transportation,46.49,0
352359,2,F,es_transportation,58.0,0
316919,1,M,es_transportation,11.12,0
237661,1,F,es_transportation,8.41,0
400569,4,M,es_transportation,42.38,0
26433,2,M,es_transportation,8.59,0
551493,5,F,es_barsandrestaurants,32.23,0
234656,3,M,es_transportation,31.73,0
147360,4,F,es_transportation,45.06,0
464942,3,F,es_transportation,22.88,0
592761,3,M,es_transportation,41.5,0
471226,2,F,es_transportation,52.33,0
221177,2,M,es_transportation,32.22,0
422812,4,M,es_transportation,54.55,0
195454,5,M,es_transportation,4.04,0
32350,1,M,es_transportation,39.21,0
118558,2,M,es_transportation,11.84,0
524301,4,M,es_wellnessandbeauty,132.73,0
225463,2,F,es_transportation,2.94,0
104368,3,F,es_transportation,12.04,0
167775,2,M,es_transportation,27.31,0
587339,3,F,es_food,31.4,0
377247,1,F,es_transportation,44.95,0
245976,3,F,es_transportation,46.05,0
418281,1,F,es_food,36.35,0
97219,2,M,es_transportation,34.32,0
25919,2,M,es_transportation,36.67,0
590023,4,M,es_transportation,13.58,0
491610,2,F,es_transportation,32.12,0
199160,2,F,es_transportation,13.65,0
542580,4,M,es_transportation,28.23,0
340057,2,F,es_transportation,24.92,0
162720,4,F,es_transportation,21.0,0
458680,1,F,es_health,136.56,0
461916,5,F,es_home,23.8,0
347868,6,M,es_sportsandtoys,45.73,0
244604,3,F,es_transportation,11.65,0
447570,2,M,es_transportation,5.52,0
413458,1,M,es_transportation,39.18,0
475111,2,F,es_wellnessandbeauty,53.29,0
528368,5,F,es_transportation,37.03,0
338063,2,M,es_transportation,40.03,0
514432,3,F,es_transportation,1.0997999999999999,0
462245,1,F,es_transportation,15.9,0
449045,6,M,es_transportation,14.83,0
15899,4,M,es_transportation,38.32,0
187468,4,M,es_food,87.84,0
107845,3,M,es_transportation,2.96,0
538715,2,M,es_transportation,6.9,0
349553,2,M,es_transportation,20.94,0
590128,2,F,es_transportation,17.86,0
66282,4,M,es_transportation,44.65,0
391849,5,M,es_tech,209.24,0
196553,2,M,es_transportation,44.42,0
481800,4,M,es_transportation,46.41,0
584663,3,F,es_transportation,41.17,0
167947,5,F,es_wellnessandbeauty,33.17,0
315048,4,M,es_transportation,7.53,0
426858,3,M,es_transportation,53.64,0
13716,2,F,es_transportation,9.6,0
158807,6,F,es_transportation,27.35,0
73110,4,M,es_transportation,46.89,0
371392,2,F,es_transportation,32.26,0
583491,2,M,es_transportation,27.63,0
513726,4,M,es_transportation,47.33,0
482601,5,M,es_transportation,66.27,0
54248,5,F,es_transportation,33.97,0
428274,2,F,es_transportation,37.08,0
360341,2,M,es_transportation,32.83,0
363377,2,F,es_food,32.73,0
329702,1,F,es_transportation,20.96,0
222739,1,M,es_transportation,5.43,0
544488,4,M,es_transportation,24.55,0
387437,3,F,es_transportation,25.96,0
513023,2,F,es_transportation,13.38,0
568781,3,M,es_transportation,18.62,0
586526,2,M,es_wellnessandbeauty,8.86,0
411012,5,F,es_transportation,45.93,0
320905,2,F,es_transportation,29.94,0
447144,2,M,es_transportation,33.53,0
517795,6,F,es_transportation,45.16,0
370262,5,M,es_transportation,19.18,0
507994,1,F,es_transportation,19.5,0
105972,2,M,es_transportation,6.18,0
407754,2,M,es_food,60.33,0
515881,4,M,es_transportation,63.32,0
38608,1,M,es_transportation,30.51,0
60252,5,M,es_transportation,20.96,0
265562,5,M,es_transportation,37.73,0
82056,3,F,es_transportation,5.34,0
576078,4,M,es_transportation,47.03,0
101655,3,M,es_transportation,8.85,0
19960,5,M,es_transportation,31.62,0
1876,1,M,es_transportation,2.02,0
409389,4,F,es_transportation,30.38,0
515099,6,F,es_food,35.64,0
436589,2,M,es_transportation,7.92,0
238285,3,M,es_transportation,45.22,0
160437,3,F,es_transportation,30.03,0
268257,3,F,es_health,236.14739999999958,0
563452,2,M,es_transportation,5.68,0
390047,4,F,es_transportation,33.65,0
355119,4,F,es_transportation,23.47,0
310864,2,F,es_wellnessandbeauty,33.46,0
29207,2,F,es_transportation,2.99,0
470191,4,M,es_transportation,53.17,0
430872,4,F,es_transportation,17.8,0
540480,5,M,es_transportation,8.85,0
465026,3,M,es_transportation,1.0997999999999999,0
288615,4,F,es_sportsandtoys,33.21,0
457136,3,F,es_transportation,21.19,0
383033,6,F,es_transportation,13.94,0
395769,5,M,es_transportation,38.1,0
390901,1,F,es_food,21.21,0
255665,2,F,es_transportation,72.98,0
100194,2,F,es_transportation,55.52,0
154950,3,F,es_transportation,31.48,0
66610,3,F,es_transportation,13.59,0
591155,2,F,es_transportation,2.42,0
266923,2,F,es_transportation,24.71,0
247242,3,F,es_transportation,10.73,0
293493,4,M,es_transportation,21.44,0
213910,3,F,es_transportation,1.0997999999999999,0
154055,1,F,es_transportation,19.23,0
521218,6,M,es_fashion,58.07,0
471678,2,M,es_transportation,28.95,0
66666,3,F,es_transportation,2.97,0
131587,5,F,es_transportation,28.21,0
150561,2,F,es_transportation,27.92,0
29602,5,M,es_transportation,14.28,0
214747,3,M,es_transportation,13.61,0
224390,3,F,es_health,61.61,0
394022,2,F,es_food,27.83,0
464357,2,F,es_transportation,7.09,0
293757,1,M,es_transportation,32.02,0
384283,4,F,es_transportation,24.57,0
575704,4,F,es_transportation,33.65,0
236270,2,M,es_transportation,37.02,0
469682,6,F,es_food,20.8,0
134353,3,F,es_transportation,6.07,0
466555,2,F,es_transportation,35.55,0
554057,4,F,es_transportation,28.2,0
92955,2,F,es_transportation,14.02,0
24401,2,F,es_transportation,8.27,0
282533,6,F,es_transportation,24.43,0
478699,4,M,es_food,3.02,0
314396,3,M,es_transportation,6.31,0
261618,3,M,es_transportation,18.89,0
483643,3,M,es_transportation,2.4,0
222196,3,F,es_transportation,23.07,0
417586,2,F,es_transportation,8.67,0
530091,2,F,es_wellnessandbeauty,85.33,0
461364,6,F,es_transportation,1.48,0
239782,3,F,es_transportation,8.07,0
264381,2,M,es_transportation,20.07,0
18783,4,M,es_food,36.15,0
439596,5,M,es_transportation,6.26,0
154587,5,F,es_transportation,16.3,0
102713,1,F,es_transportation,23.64,0
236390,3,F,es_transportation,10.69,0
205586,2,F,es_wellnessandbeauty,134.27,0
546933,4,F,es_health,194.6,0
351664,3,F,es_transportation,27.89,0
65156,2,F,es_wellnessandbeauty,82.36,0
470876,1,F,es_transportation,6.75,0
567285,3,F,es_transportation,27.79,0
405161,5,F,es_sportsandtoys,59.53,0
468385,5,M,es_transportation,1.72,0
304010,1,M,es_hyper,3.53,0
161432,5,M,es_transportation,30.46,0
354429,2,F,es_transportation,33.99,0
389248,2,F,es_transportation,23.97,0
428699,4,M,es_transportation,13.19,0
120977,2,F,es_transportation,39.91,0
515172,3,F,es_health,236.14739999999958,0
369134,3,M,es_transportation,12.65,0
189414,3,F,es_transportation,24.15,0
177270,2,M,es_transportation,41.13,0
325628,4,F,es_transportation,9.35,0
525528,1,M,es_transportation,40.01,0
198692,3,M,es_transportation,11.85,0
217337,3,F,es_transportation,59.95,0
512285,2,M,es_transportation,6.82,0
8474,5,M,es_transportation,59.11,0
155308,3,M,es_transportation,47.79,0
53448,4,F,es_transportation,35.59,0
410673,4,M,es_transportation,36.64,0
334041,1,M,es_transportation,54.07,0
319689,4,M,es_transportation,13.01,0
360349,3,M,es_transportation,18.18,0
514010,0,F,es_transportation,12.18,0
250252,6,F,es_transportation,26.94,0
331134,4,F,es_transportation,19.16,0
557066,4,F,es_transportation,3.08,0
267666,3,M,es_transportation,27.36,0
86060,5,M,es_transportation,46.0,0
241677,5,M,es_transportation,23.32,0
245550,2,M,es_transportation,2.27,0
576531,1,F,es_transportation,38.73,0
129181,4,F,es_transportation,25.89,0
293091,5,F,es_transportation,50.58,0
551318,5,M,es_transportation,26.66,0
171163,4,F,es_hyper,7.26,0
202858,2,F,es_transportation,42.25,0
272294,2,F,es_transportation,32.03,0
250059,2,F,es_wellnessandbeauty,65.05,0
214444,5,M,es_transportation,12.65,0
434005,2,F,es_transportation,37.49,0
404609,1,M,es_transportation,6.57,0
479369,2,F,es_transportation,22.29,0
166773,3,F,es_food,23.59,0
144885,4,M,es_transportation,56.28,0
341134,2,F,es_transportation,47.63,0
322998,3,M,es_transportation,63.75,0
155958,2,M,es_transportation,20.23,0
180613,2,M,es_transportation,13.73,0
537845,1,F,es_transportation,26.23,0
15933,3,M,es_transportation,57.35,0
159431,5,M,es_transportation,40.65,0
42374,1,F,es_transportation,23.76,0
217441,2,F,es_food,27.71,0
439537,3,M,es_health,54.52,0
13682,6,F,es_transportation,19.2,0
220769,2,F,es_transportation,26.7,0
47101,2,F,es_food,39.32,0
26043,4,F,es_transportation,45.34,0
465296,6,M,es_transportation,53.28,0
515330,6,M,es_barsandrestaurants,157.3,0
62933,3,M,es_transportation,16.3,0
393852,3,M,es_transportation,44.68,0
570600,2,M,es_transportation,33.05,0
4735,2,M,es_transportation,47.74,0
449084,4,M,es_transportation,43.46,0
101104,6,F,es_transportation,4.29,0
538074,1,F,es_transportation,13.01,0
41454,5,M,es_transportation,25.87,0
487296,1,F,es_transportation,45.72,0
503713,5,F,es_transportation,27.18,0
352114,4,F,es_transportation,60.21,0
88723,1,M,es_transportation,49.59,0
435801,2,M,es_transportation,46.08,0
374699,3,F,es_transportation,9.49,0
324677,5,F,es_transportation,45.47,0
35130,2,F,es_transportation,38.08,0
263698,U,E,es_transportation,1.0997999999999999,0
275477,5,M,es_transportation,14.04,0
573792,2,F,es_food,28.64,0
347045,1,M,es_transportation,26.86,0
106643,1,M,es_wellnessandbeauty,37.16,0
121375,1,M,es_transportation,29.49,0
166312,2,M,es_barsandrestaurants,62.88,0
15908,4,F,es_transportation,5.08,0
79272,4,F,es_health,90.52,0
545249,5,M,es_transportation,4.28,0
139814,4,M,es_transportation,1.26,0
507290,2,F,es_health,205.51,0
445625,3,M,es_wellnessandbeauty,39.96,0
52047,5,F,es_health,106.54,0
444523,2,F,es_food,83.49,0
310873,4,F,es_wellnessandbeauty,5.88,0
88702,5,F,es_transportation,58.97,0
216749,3,M,es_transportation,26.82,0
233070,2,M,es_transportation,29.6,0
333735,2,F,es_transportation,1.0997999999999999,0
454754,4,F,es_transportation,42.98,0
193506,2,M,es_transportation,27.97,0
8982,5,F,es_transportation,33.52,0
520691,2,F,es_transportation,27.89,0
293298,2,M,es_transportation,51.15,0
511229,0,F,es_transportation,26.17,0
246740,2,M,es_transportation,13.88,0
475791,2,F,es_transportation,9.62,0
180736,1,F,es_health,86.9,0
474427,2,F,es_transportation,2.5,0
399967,4,M,es_transportation,34.73,0
460322,4,F,es_wellnessandbeauty,95.07,0
591428,3,M,es_transportation,4.26,0
333167,4,M,es_transportation,48.4,0
71376,4,F,es_transportation,53.85,0
477394,3,M,es_transportation,20.85,0
554847,2,M,es_transportation,10.92,0
350780,2,F,es_transportation,32.24,0
558884,3,M,es_transportation,38.07,0
105982,2,F,es_transportation,4.68,0
290641,3,M,es_transportation,47.11,0
454801,4,M,es_transportation,59.36,0
436047,3,M,es_transportation,57.19,0
543411,2,F,es_transportation,25.21,0
56520,3,F,es_transportation,29.83,0
414672,2,F,es_transportation,2.53,0
388082,2,M,es_transportation,58.91,0
233411,5,F,es_transportation,8.12,0
325322,1,F,es_transportation,42.77,0
152555,2,M,es_transportation,23.09,0
160317,2,F,es_transportation,4.97,0
96324,3,M,es_transportation,3.8,0
380331,1,M,es_transportation,7.72,0
66412,1,M,es_fashion,107.73,0
322905,6,M,es_transportation,4.9,0
387548,3,M,es_transportation,26.25,0
136539,4,F,es_transportation,45.18,0
388519,3,F,es_transportation,30.58,0
278365,2,M,es_transportation,1.0997999999999999,0
320479,2,M,es_transportation,72.19,0
54531,3,F,es_transportation,43.87,0
121381,4,M,es_transportation,21.27,0
324457,3,M,es_transportation,44.83,0
211609,2,F,es_transportation,11.41,0
578069,2,F,es_transportation,48.89,0
159785,2,F,es_transportation,12.88,0
491065,3,M,es_transportation,35.28,0
177901,2,M,es_transportation,52.63,0
511319,6,M,es_transportation,20.39,0
343314,1,M,es_transportation,43.98,0
91943,1,M,es_transportation,29.9,0
260496,2,F,es_transportation,2.56,0
222228,1,M,es_transportation,48.05,0
462225,2,F,es_transportation,11.08,0
464094,2,M,es_transportation,30.94,0
465121,5,M,es_transportation,26.63,0
518545,2,F,es_transportation,21.24,0
486622,4,M,es_health,116.85,0
171611,4,M,es_wellnessandbeauty,31.23,0
282861,5,M,es_transportation,6.37,0
439408,0,F,es_transportation,14.88,0
90201,2,F,es_transportation,2.55,0
315120,2,F,es_transportation,29.26,0
108136,4,F,es_transportation,5.76,0
401575,1,F,es_transportation,13.11,0
420214,3,M,es_barsandrestaurants,40.49,0
360134,5,F,es_food,3.58,0
200857,0,F,es_health,46.23,0
206704,3,F,es_transportation,33.34,0
218191,1,F,es_transportation,5.47,0
367683,2,M,es_transportation,18.31,0
371136,4,F,es_transportation,44.73,0
54443,3,F,es_transportation,28.83,0
349798,1,F,es_fashion,236.14739999999958,0
250402,6,F,es_transportation,50.21,0
279935,5,F,es_barsandrestaurants,14.22,0
593209,2,M,es_transportation,27.39,0
495632,2,F,es_transportation,41.76,0
395991,5,F,es_food,28.54,0
228701,2,F,es_transportation,31.72,0
42080,2,F,es_transportation,26.1,0
491951,3,F,es_hyper,43.88,0
228398,3,F,es_sportsandtoys,236.14739999999958,0
304212,2,F,es_transportation,38.3,0
244859,2,M,es_transportation,48.19,0
347278,3,M,es_transportation,22.21,0
370012,3,F,es_transportation,41.5,0
462295,2,M,es_transportation,18.12,0
350165,4,F,es_transportation,13.87,0
156099,3,F,es_hyper,62.02,0
128855,1,F,es_transportation,41.84,0
32156,5,F,es_transportation,16.68,0
504710,4,F,es_food,34.51,0
181496,4,F,es_transportation,50.47,0
106804,5,F,es_transportation,12.78,0
320328,3,M,es_transportation,45.49,0
113998,2,M,es_transportation,19.27,0
108648,2,M,es_transportation,57.98,0
593136,1,F,es_food,56.34,0
353180,3,M,es_barsandrestaurants,47.06,0
540286,6,M,es_health,138.65,0
165954,3,M,es_transportation,34.34,0
304700,5,F,es_hyper,46.64,0
469428,2,F,es_transportation,31.22,0
249638,2,F,es_transportation,51.51,0
136118,2,F,es_transportation,2.59,0
345862,5,M,es_transportation,41.86,0
548201,4,F,es_transportation,14.89,0
256085,2,F,es_transportation,32.02,0
552834,2,F,es_transportation,13.08,0
449991,2,F,es_transportation,61.51,0
482217,2,F,es_food,47.14,0
142464,4,M,es_wellnessandbeauty,8.11,0
224976,2,M,es_transportation,25.79,0
360961,4,F,es_transportation,7.5,0
252121,2,F,es_transportation,21.81,0
326749,3,F,es_transportation,4.01,0
470411,2,F,es_transportation,11.55,0
169785,1,M,es_transportation,26.68,0
445497,4,F,es_transportation,42.71,0
502776,2,F,es_transportation,21.24,0
78642,1,M,es_transportation,43.31,0
547218,2,F,es_transportation,9.09,0
146445,4,F,es_transportation,41.55,0
461432,4,M,es_transportation,27.5,0
88079,4,F,es_transportation,3.45,0
465885,3,F,es_transportation,29.75,0
179292,2,M,es_wellnessandbeauty,21.31,0
206051,2,F,es_transportation,30.32,0
45046,4,F,es_transportation,5.05,0
337104,2,M,es_transportation,31.95,0
102023,3,M,es_transportation,45.36,0
155079,2,F,es_transportation,39.92,0
180626,3,F,es_transportation,42.98,0
565373,4,F,es_transportation,22.09,0
310434,2,F,es_food,10.11,0
43957,1,F,es_transportation,20.34,0
107725,6,M,es_transportation,29.15,0
28285,2,F,es_transportation,12.31,0
312238,2,M,es_health,81.63,0
288639,2,M,es_transportation,42.97,0
417007,2,M,es_transportation,10.02,0
561252,1,M,es_transportation,11.06,0
339783,2,F,es_sportsandtoys,37.87,0
382397,2,F,es_transportation,21.92,0
268974,2,M,es_transportation,35.53,0
550843,4,F,es_transportation,35.63,0
40456,1,F,es_transportation,33.52,0
455894,5,M,es_food,28.85,0
435827,0,F,es_hotelservices,131.99,0
145225,2,F,es_transportation,5.31,0
512421,1,F,es_transportation,18.95,0
86050,3,F,es_transportation,13.37,0
381573,2,F,es_transportation,29.67,0
258888,3,F,es_transportation,42.74,0
374077,1,F,es_transportation,30.9,0
119509,2,F,es_transportation,21.92,0
102905,3,F,es_transportation,11.06,0
156050,4,F,es_transportation,4.89,0
129930,5,M,es_transportation,25.21,0
479177,2,M,es_transportation,4.7,0
143020,2,F,es_transportation,18.7,0
497284,4,F,es_transportation,4.18,0
591022,2,M,es_transportation,29.65,0
109584,3,M,es_transportation,16.17,0
121825,3,M,es_transportation,29.93,0
409056,3,F,es_transportation,7.79,0
312579,2,F,es_transportation,46.68,0
464359,4,F,es_transportation,6.8,0
577247,1,F,es_transportation,15.77,0
356303,2,M,es_transportation,8.73,0
206248,2,F,es_transportation,22.68,0
263280,4,M,es_transportation,21.26,0
194929,1,M,es_wellnessandbeauty,54.82,0
93472,2,M,es_transportation,36.11,0
95492,2,F,es_transportation,37.77,0
581285,1,F,es_transportation,28.28,0
65239,3,F,es_transportation,42.32,0
20987,5,F,es_transportation,9.52,0
161932,5,F,es_transportation,21.24,0
355625,2,F,es_transportation,27.96,0
411747,3,M,es_transportation,31.55,0
404037,3,M,es_transportation,55.54,0
354529,4,F,es_transportation,66.51,0
526279,3,F,es_transportation,27.91,0
594587,5,F,es_transportation,5.96,0
202983,3,F,es_transportation,27.28,0
211606,4,F,es_transportation,18.01,0
485861,5,F,es_transportation,25.06,0
77945,3,M,es_transportation,8.43,0
392672,2,M,es_transportation,27.29,0
482434,4,F,es_transportation,41.04,0
248100,4,M,es_transportation,2.29,0
100460,2,F,es_transportation,20.88,0
83658,2,M,es_transportation,17.13,0
538431,6,F,es_health,172.21,0
391814,1,M,es_transportation,50.43,0
472815,4,M,es_transportation,66.56,0
133097,2,F,es_transportation,48.0,0
498552,4,F,es_transportation,40.24,0
429113,4,M,es_transportation,17.9,0
328631,2,M,es_transportation,38.13,0
586155,1,M,es_transportation,26.44,0
474309,4,F,es_transportation,37.71,0
265921,3,M,es_food,35.79,0
370462,3,F,es_transportation,1.0997999999999999,0
591871,2,F,es_transportation,7.18,0
297542,4,F,es_transportation,10.72,0
284754,5,M,es_transportation,42.07,0
193707,4,M,es_transportation,5.12,0
90767,2,M,es_transportation,21.17,0
371093,5,F,es_transportation,32.32,0
13719,2,M,es_transportation,44.0,0
63260,2,F,es_transportation,43.69,0
571024,4,F,es_transportation,29.52,0
225423,2,F,es_food,14.54,0
113311,5,M,es_transportation,38.82,0
4667,6,M,es_transportation,63.2,0
482588,1,F,es_transportation,27.37,0
309536,5,F,es_transportation,25.07,0
445329,5,F,es_transportation,11.89,0
399103,4,M,es_transportation,31.51,0
545074,3,F,es_transportation,13.49,0
