,age,amount,fraud,M,es_barsandrestaurants,es_contents,es_fashion,es_food,es_health,es_home,es_hotelservices,es_hyper,es_leisure,es_otherservices,es_sportsandtoys,es_tech,es_transportation,es_travel
32,1,87.59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,6,188.36,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,4,13.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,2,31.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,2,40.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2,59.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,5,56.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,5,68.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,5,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,2,17.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,2,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,3,43.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,2,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,4,9.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,3,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
48,3,65.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,4,22.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,2,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,2,95.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,2,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,4,46.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,4,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,4,52.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,2,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,4,26.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,4,48.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,3,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,2.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,3,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,6,12.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,3,32.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,5,32.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,2,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,4,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
67,2,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,6,8.14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,3,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,3,36.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,4,26.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
72,1,17.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
73,4,10.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
74,2,53.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,1,188.94,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,5,228.05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,3,14.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,4,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,2,28.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,4,13.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,3,1.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,5,51.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,6,19.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
84,6,95.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,1,57.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
86,3,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,2,44.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,3,28.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,4,28.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,3,88.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,48.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,2,39.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,6,48.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,1,13.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,3,43.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,4,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,2,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,2,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,1,103.79,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,3,31.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,4,32.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,4,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,3,36.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,6,47.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,3,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,4,44.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,3,50.84,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,4,18.97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,6,48.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,2,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,2,30.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,2,6.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,2,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,4,38.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,1,21.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,2,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,5,71.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
118,1,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,2,28.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,2,75.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,1,9.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,4,40.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,4,1.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,4,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,4,29.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,1,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,2,6.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,5,6.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,2,37.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2,8.03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,2,26.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
132,4,5.69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,3,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,2,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
135,6,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,4,41.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,3,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,3,45.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,2,94.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
140,3,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,2,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,1,42.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
143,4,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,4,9.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
145,3,17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,2,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,4,18.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,3,39.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,4,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,2,47.31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,2,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,1,32.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,2,27.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,2,23.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,1,7.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,1,52.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,3,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,3,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,2,62.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,3,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,3,32.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,5,57.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,3,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,2,50.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
167,3,59.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
168,3,4.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,4,37.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,4,45.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,5,34.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,5,69.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,2,11.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,1,31.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,1,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,6,83.52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,4,26.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,4,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
179,1,26.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,3,26.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,0,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,4,61.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,3,4.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,3,62.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,3,22.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,2,88.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,2,11.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,6,24.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,5,125.13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,4,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,3,35.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,2,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,4,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,2,37.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
195,3,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,2,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,3,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
198,2,51.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,0,39.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,2,94.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201,3,36.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,1,8.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,2,34.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,4,21.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,3,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,2,36.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
207,3,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,2,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,4,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
210,4,64.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,5,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,4,236.14739999999958,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
213,3,55.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
214,2,36.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,3,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,3,30.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,1,33.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
218,5,30.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,4,10.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
220,2,35.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221,3,49.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,2,42.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,4,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,2,8.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,2,79.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
226,2,13.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
227,2,24.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
228,2,8.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,2,57.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,5,81.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231,4,58.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
232,1,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,5,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,1,1.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,3,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,2,30.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
237,3,34.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
238,3,15.85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
239,6,46.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
240,2,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,1,11.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,1,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,4,42.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
244,2,8.59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,5,32.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
246,3,31.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,4,45.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
248,3,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
249,3,41.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250,2,52.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
251,2,32.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,4,54.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,5,4.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
254,1,39.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
255,2,11.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,4,132.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,2,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258,3,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,2,27.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
260,3,31.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261,1,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262,3,46.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
263,1,36.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
264,2,34.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
265,2,36.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,4,13.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
267,2,32.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
268,2,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
269,4,28.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,2,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
271,4,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
272,1,136.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
273,5,23.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
274,6,45.73,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
275,3,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
276,2,5.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
277,1,39.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
278,2,53.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,5,37.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
280,2,40.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
281,3,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
282,1,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
283,6,14.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
284,4,38.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
285,4,87.84,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
286,3,2.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
287,2,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
288,2,20.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,2,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
290,4,44.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
291,5,209.24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
292,2,44.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
293,4,46.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
294,3,41.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
295,5,33.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,4,7.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
297,3,53.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
298,2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
299,6,27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300,4,46.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
301,2,32.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
302,2,27.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
303,4,47.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
304,5,66.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
305,5,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
306,2,37.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
307,2,32.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
308,2,32.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
309,1,20.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
310,1,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311,4,24.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
312,3,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
313,2,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
314,3,18.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
315,2,8.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,5,45.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
317,2,29.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
318,2,33.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
319,6,45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
320,5,19.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
321,1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
322,2,6.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
323,2,60.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
324,4,63.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
325,1,30.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
326,5,20.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
327,5,37.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
328,3,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
329,4,47.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
330,3,8.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
331,5,31.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
332,1,2.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
333,4,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
334,6,35.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
335,2,7.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
336,3,45.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
337,3,30.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
338,3,236.14739999999958,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
339,2,5.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
340,4,33.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
341,4,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,2,33.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,2,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
